Domain,Context,Attributes,Template
Kmart,Baby_Clothing,"<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Cut from soft fabric, this long sleeved <AT_type> will keep your baby comfy and warm all day long. </p>  <ul>  <li> Fabric content: Cotton </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131599 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","Designed with soft fabric and a <AT_fit> fit, this <AT_type> is a cosy pick for your tiny tot. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131612"
Kmart,Baby_Clothing,"<AT_closure_type>,<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>","Your little dearie will stay comfortable and look super cute in this button down cardigan. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_closure_type> </li>  <li> Ribbed cuffs, hem and neck band </li>  <li> <AT_fit> fit </li>  <li> Hand wash according to the instructions on the care label </li>  </ul> Style ID 131623"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>",Your tiny tot will feel comfy and look adorable in these basic <AT_type> - perfect for teaming with leggings or shorts. <ul>  <li> <AT_material> or polyester/cotton </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> 3 pack </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131641
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_wash_instruction>","<p> Cut from soft fabric, this cute singlet will keep your baby warm and comfy throughout the day. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131643 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Cut from soft fabric, this <AT_type> will keep your baby cosy and warm - ideal for everyday use. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131644 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<AT_product_type> up your tiny tot comfortably and in pleasing colours with these knit <AT_type> that have a flared hem and a comfortable fit. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> Flared, curved hem </li>  <li> <AT_fit> fit </li>  <li> 3 pack </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131661"
Kmart,Baby_Clothing,"<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Cut from soft fabric, this <AT_type> will keep your baby cosy and warm - ideal for everyday use. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131664 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_wash_instruction>",<p> Your tiny tot will love the comfy feel and soft fit of these singlets. </p>  <ul>  <li> <AT_material> or cotton/viscose </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> 3 pack </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131978 </p>
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_wash_instruction>",<p> Your little one will love the comfy feel and soft fit of these singlets. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> Gathers around the neck </li>  <li> Flared hem </li>  <li> <AT_fit> fit </li>  <li> 3 pack </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131979 </p>
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>",<AT_product_type> your little cherub adorably in this <AT_type> and a pair of contrast or printed leggings. <ul>  <li> <AT_material> or cotton/polyester </li>  <li> <AT_neck_type> </li>  <li> Ribbed <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 132662
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> With a print as playful as your little munchkin, this soft <AT_type> will keep them cute and comfy all day long. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> Designed to fade </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 132847 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","As cute as your tiny tot, this swing <AT_type> is an adorable pick to team with a pair of shorts or skirt. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> Curved hem </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 133090"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> With cute frill cap sleeves, this <AT_type> with printed detail will look adorable on your little munchkin. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> Frilled <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 133193 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_wash_instruction>","Your little cherub will look adorable in this printed tee, a pair of shorts and sandals. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> Printed front </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 133352"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","<p> Featuring cute prints, this cool and comfy <AT_type> will offer a snug fit for your tiny tot. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 133353 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_wash_instruction>","Babies can sleep, eat and roll around gleefully in this comfy singlet designed with a pretty frill on the front. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> Short ruffle sleeves </li>  <li> V-shaped frill on the front </li>  <li> Curved hem </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 133451"
Kmart,Baby_Clothing,"<AT_closure_type>,<AT_fit>,<AT_material>,<AT_neck_type>,<AT_type>,<AT_wash_instruction>","<p> With cute frill sleeves, this embroidered <AT_type> will look adorable on your tiny tot. </p>  <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> Frill sleeves with scalloped edges </li>  <li> Elastic waistline with mock tie </li>  <li> <AT_closure_type> on the back </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 133525 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_product_type>,<AT_sleeve_type>,<AT_wash_instruction>","As cute as your tiny tot, this <AT_product_type> is all about their comfort. <ul>  <li> <AT_material> or cotton/polyester </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 133678"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_wash_instruction>",<p> Your baby will be comfortable while playing or sleeping in this cute singlet with a high-low hem. </p>  <ul>  <li> <AT_material> or cotton/polyester </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> High-low hem </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 133724 </p>
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>","With a cheerful Christmas print, this cute <AT_type> is just the thing for your little one this festive season. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> </li>  <li> <AT_sleeve_type> </li>  <li> <AT_fit> fit </li>  <li> Fun writing on the front </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 133745"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_neck_type>,<AT_sleeve_type>,<AT_type>,<AT_wash_instruction>",Your little one will look lovely in this <AT_type> that has a cute Christmas print. <ul>  <li> <AT_material> </li>  <li> <AT_neck_type> neck </li>  <li> <AT_sleeve_type> </li>  <li> Rolled up cuffs </li>  <li> Flared hem </li>  <li> Christmas print </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 133747
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>","<p> Comfy and cute, these leggings have a pretty frill detail - a great way to make your little one look even more adorable! </p>  <ul>  <li> Fabric Content: <AT_material> </li>  <li> Elastic waistband with a frill detail at the back </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 126774 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_product_type>,<AT_wash_instruction>","<p> The look of denim meets the comfort of joggers with these pants! Snug and cute, these pants are a great pick to <AT_product_type> up your munchkin for that trip to the park. </p>  <ul>  <li> Fabric content: <AT_material> </li>  <li> Elastic waistband </li>  <li> 2 mock front pockets and 2 back pockets </li>  <li> Elastic ankle cuffs </li>  <li> <AT_wash_instruction> </li>  <li> Designed to fade </li>  </ul>  <p> Style ID 128988 </p>"
Kmart,Baby_Clothing,"<AT_pocket_type>,<AT_wash_instruction>","<p> Designed to offer a comfortable and snug fit, these denim leggings will look trendy on your little one when styled with a casual tee. </p>  <ul>  <li> Fabric content: Cotton, polyester, elastane </li>  <li> Soft elastic waistband </li>  <li> 2 front <AT_pocket_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 129174 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>","<p> Soft with added stretch, these jeans will keep your munchkin comfy all day long. </p>  <ul>  <li> Fabric content: <AT_material> </li>  <li> Elastic waistband </li>  <li> <AT_wash_instruction> </li>  <li> Designed to fade </li>  </ul>  <p> Style ID 129178 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_product_type>,<AT_wash_instruction>",<p> Team these denim jeans with a <AT_product_type> to keep your little tot snug and comfy. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband with drawcord </li>  <li> 2 patch pockets </li>  <li> Ankle cuffs </li>  <li> Designed to fade </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 130889 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>","<p> Cut from soft fabric, these pants with cute frill pockets will keep your tiny tot snug and comfortable all day long. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> 2 frill pockets </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131365 </p>"
Kmart,Baby_Clothing,<AT_wash_instruction>,"<p> These fitted leggings with an elastic waistband will offer a snug and breathy fit for your tiny tot. </p>  <ul>  <li> Cotton, polyester and elastane </li>  <li> Elastic waistband </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131366 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_product_type>,<AT_type>,<AT_wash_instruction>",<AT_product_type> your baby comfortably in these snug leggings and a plain <AT_type> to keep them <AT_fit> all day. <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> Ribbed cuffs </li>  <li> Curved inleg </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131451
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>",<p> These leggings with a flat waistband and ribbed cuffs will look adorable on your baby. </p>  <ul>  <li> <AT_material> and <AT_material> </li>  <li> Elastic waistband </li>  <li> Ribbed cuffs </li>  <li> Curved inleg </li>  <li> Fitted </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131452 </p>
Kmart,Baby_Clothing,"<AT_type>,<AT_wash_instruction>","Super comfy with added stretch, these soft leggings are great for your baby to wear with a <AT_type> or top. <ul>  <li> Cotton/elastane or cotton/polyester/elastane </li>  <li> Elastic waistband </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131575"
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>","<p> Super soft and relaxed, these trackpants will keep your little one all cute and comfy all day. </p>  <ul>  <li> <AT_material> and <AT_material> </li>  <li> Ribbed elastic waistband and cuffs </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131576 </p>"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_pocket_type>,<AT_wash_instruction>",<p> Your tiny tot will look adorable in these <AT_fit> fit chambray shorts that are ideal for warm days. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband with drawcord </li>  <li> 2 side <AT_pocket_type> </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  <li> Designed to fade </li>  </ul>  <p> Style ID 131582 </p>
Kmart,Baby_Clothing,"<AT_type>,<AT_wash_instruction>","<p> Super comfy with added stretch, these basic leggings are great for your child to team with a top or <AT_type> for all day wear. </p>  <ul>  <li> Cotton/elastane </li>  <li> Elastic waistband </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131585 </p>"
Kmart,Baby_Clothing,<AT_wash_instruction>,"<p> Cut from soft fabric, these knit pants are designed with an easy, flexible fit to keep your baby comfy all day long. </p>  <ul>  <li> Fabric content: Cotton </li>  <li> Elastic waistband </li>  <li> Ribbed ankle cuffs </li>  <li> Curved inleg </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131586 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_type>",<p> Your child will love to swirl around in these cute leggings that can be teamed with a comfy <AT_type> or top. </p>  <ul>  <li> <AT_material> or cotton/elastane </li>  <li> Elastic waistband </li>  <li> Mesh Tutu </li>  <li> Hand wash according to instructions on the care label </li>  </ul>  <p> Style ID 131587 </p>
Kmart,Baby_Clothing,<AT_wash_instruction>,"Keep your child comfortable in these leggings that are made from soft fabric with added stretch - great for all day wear. <ul>  <li> Cotton/polyester or cotton/elastane </li>  <li> Elastic waistband </li>  <li> Mock fly, front and back pockets </li>  <li> Folded ankle cuffs </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131588"
Kmart,Baby_Clothing,"<AT_material>,<AT_pocket_type>,<AT_product_type>,<AT_wash_instruction>",<p> <AT_product_type> your little one for a fun day out in these cute woven pants that come with a wide elastic band for added comfort. </p>  <ul>  <li> <AT_material> </li>  <li> Ribbed elastic waistband </li>  <li> Elastic cuffs </li>  <li> <AT_pocket_type> </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131589 </p>
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_wash_instruction>",<p> Your tiny tot will stay <AT_fit> in these knit pants that are designed from soft fabric. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> Self fabric attached cuff band </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131611 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_product_type>,<AT_wash_instruction>","<p> <AT_product_type> your tiny tot in these jeans with elastic waistband, which provides a soft fit on delicate skin. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> Mock fly </li>  <li> 2 mock side pockets </li>  <li> Skinny fit </li>  <li> <AT_wash_instruction> </li>  <li> Designed to fade </li>  </ul>  <p> Style ID 131618 </p>"
Kmart,Baby_Clothing,<AT_wash_instruction>,"<p> Soft and snug, these knit pants are a great pick to keep your little one comfy all day. </p>  <ul>  <li> Fabric content: Cotton </li>  <li> Elastic waistband </li>  <li> Ribbed cuffs </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131621 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>",<p> Keep your little one all cosy and comfy in these basic trackpants that feature a soft feel and easy fit. </p>  <ul>  <li> <AT_material> and <AT_material> </li>  <li> Ribbed elastic waistband and cuffs </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131635 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>","<p> Little ones can comfortably roll around, sleep and play in these knit shorts designed with a comfy fit and feel. </p>  <ul>  <li> <AT_material> or cotton/viscose </li>  <li> Elastic waistband </li>  <li> Mock tie </li>  <li> 2 mock side pockets </li>  <li> Turned up leg openings </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131637 </p>"
Kmart,Baby_Clothing,"<AT_material>,<AT_pocket_type>,<AT_type>,<AT_wash_instruction>",<p> Your little cutie will look even more adorable in these denim shorts that offer maximum comfort. It can be paired with a basic <AT_type> and sneakers. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband with drawstring </li>  <li> <AT_pocket_type> and 2 back pockets </li>  <li> Fitted </li>  <li> Designed to fade </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131639 </p>
Kmart,Baby_Clothing,"<AT_material>,<AT_wash_instruction>",<p> Keep your little one snug and comfy during playtime or nap time in these cute shorts. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> Ribbed waist and cuffs </li>  <li> 2 pack </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131640 </p>
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_wash_instruction>","A nursery essential, this nappy cover will keep your baby happy and comfortable. <ul>  <li> <AT_material> </li>  <li> Ribbed waistband and leg openings </li>  <li> Striped design </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul> Style ID 131646"
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_pocket_type>,<AT_wash_instruction>",<p> Little cuties will feel snug and comfy in these adorable twill shorts. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> Mock tie </li>  <li> 2 welt <AT_pocket_type> </li>  <li> Mock fly </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131649 </p>
Kmart,Baby_Clothing,"<AT_fit>,<AT_material>,<AT_wash_instruction>",<p> These comfy shorts will look adorable on your little one and can be worn at home or outdoors. </p>  <ul>  <li> <AT_material> </li>  <li> Elastic waistband </li>  <li> Mock tie </li>  <li> Frills on the leg openings </li>  <li> <AT_fit> fit </li>  <li> <AT_wash_instruction> </li>  </ul>  <p> Style ID 131657 </p>
